sensor_code,sensor_name,sensor_type,equipment_id,unit,min_value,max_value,threshold_low,threshold_high,status,last_value,last_read_time
SEN-1001-01-01,温度传感器1,temperature,1,°C,20,80,25,75,normal,45.3,2024-01-15 08:30:00
SEN-1001-01-02,压力传感器1,pressure,1,psi,0,100,10,90,normal,65.2,2024-01-15 08:30:00
SEN-1001-01-03,振动传感器1,vibration,1,mm/s,0,10,0.5,8,warning,8.5,2024-01-15 08:30:00
SEN-1001-01-04,电流传感器1,current,1,A,0,50,5,45,normal,15.6,2024-01-15 08:30:00
SEN-1001-02-01,速度传感器1,speed,2,rpm,0,3000,100,2800,normal,15.0,2024-01-15 08:30:00
SEN-1001-02-02,温度传感器2,temperature,2,°C,20,80,25,75,normal,28.5,2024-01-15 08:30:00
SEN-1002-01-01,温度传感器3,temperature,3,°C,20,80,25,75,normal,55.2,2024-01-15 08:30:00
SEN-1002-01-02,压力传感器2,pressure,3,psi,0,100,10,90,normal,85.3,2024-01-15 08:30:00
SEN-1002-02-01,温度传感器4,temperature,4,°C,20,80,25,75,offline,0.0,2024-01-15 08:30:00
SEN-1002-03-01,速度传感器2,speed,5,rpm,0,3000,100,2800,normal,950.2,2024-01-15 08:30:00
SEN-1002-03-02,温度传感器5,temperature,5,°C,20,80,25,75,normal,48.9,2024-01-15 08:30:00
SEN-1003-01-01,温度传感器6,temperature,6,°C,20,80,25,75,error,0.0,2024-01-15 08:30:00
SEN-1003-02-01,温度传感器7,temperature,7,°C,20,80,25,75,offline,0.0,2024-01-15 08:30:00
SEN-1003-03-01,湿度传感器1,humidity,8,%,30,90,40,80,normal,65.5,2024-01-15 08:30:00
SEN-1004-01-01,温度传感器8,temperature,9,°C,20,80,25,75,offline,22.0,2024-01-15 08:30:00
SEN-1004-02-01,温度传感器9,temperature,10,°C,20,80,25,75,normal,24.5,2024-01-15 08:30:00
SEN-1004-03-01,湿度传感器2,humidity,11,%,30,90,40,80,normal,45.8,2024-01-15 08:30:00
SEN-1005-01-01,温度传感器10,temperature,12,°C,20,80,25,75,normal,38.7,2024-01-15 08:30:00
SEN-1005-01-02,压力传感器3,pressure,12,psi,0,100,10,90,normal,40.5,2024-01-15 08:30:00
SEN-1005-01-03,速度传感器3,speed,12,rpm,0,3000,100,2800,normal,2000.8,2024-01-15 08:30:00
SEN-1006-01-01,温度传感器11,temperature,13,°C,20,80,25,75,normal,29.5,2024-01-15 08:30:00
SEN-1006-01-02,速度传感器4,speed,13,rpm,0,3000,100,2800,normal,500.5,2024-01-15 08:30:00
SEN-1007-01-01,电压传感器1,voltage,14,V,200,400,220,380,error,0.0,2024-01-15 08:30:00
SEN-1008-01-01,温度传感器12,temperature,15,°C,20,80,25,75,normal,42.3,2024-01-15 08:30:00
SEN-1008-01-02,压力传感器4,pressure,15,psi,0,100,10,90,normal,35.2,2024-01-15 08:30:00
SEN-1008-01-03,速度传感器5,speed,15,rpm,0,3000,100,2800,normal,800.6,2024-01-15 08:30:00
SEN-1009-01-01,温度传感器13,temperature,16,°C,20,80,25,75,offline,0.0,2024-01-15 08:30:00
SEN-1010-01-01,温度传感器14,temperature,17,°C,20,80,25,75,normal,27.8,2024-01-15 08:30:00
SEN-1010-01-02,速度传感器6,speed,17,rpm,0,3000,100,2800,normal,300.2,2024-01-15 08:30:00